SAMN03960103	SAMN03960110	
SAMEA957177	SAMEA3573775	SAMEA957289	SAMEA957222	SAMEA3545734	
SAMEA957187	SAMEA3573787	SAMEA3355635	SAMEA957295	SAMEA734787	
SAMEA957196	SAMEA957276	SAMEA698387	SAMEA957243	SAMEA957221	SAMEA957226	SAMEA3886556	SAMEA957206	
SAMEA3355624	
SAMEA3355631	SAMEA698376	SAMEA3355647	
SAMN02325171	SAMN02865298	
SAMN05728298	
SAMN05728305	
SAMN05728315	SAMN05728300	
SAMN05728295	
SAMN05728311	
SAMN05728306	
SAMN05728292	
SAMN05728319	SAMN05728294	SAMN05728288	SAMN03859739	
SAMN05728293	SAMN05728301	SAMN05728320	SAMN05728321	SAMN05728296	SAMN05728303	
SAMN05728290	SAMN05728297	
SAMN05728307	SAMN05728299	SAMN05728316	SAMN05728318	SAMN05728308	SAMN05728302	SAMN05728314	SAMN05728287	SAMN05728286	
SAMN05728313	
SAMN10038842	
SAMN09906727	
SAMN02203206	
SAMEA4546987	
SAMN02203213	SAMN02203267	SAMN02203197	
SAMN02203203	
SAMEA2743742	
SAMEA2742999	SAMEA4546975	
SAMEA3716934	
SAMEA3717021	SAMEA3716999	SAMEA3717191	SAMEA2743005	SAMEA2746607	
SAMEA2747117	
SAMEA2743263	
SAMEA2744141	SAMEA104188118	SAMEA2743515	SAMEA3716852	
SAMN09906695	
SAMEA4546803	
SAMEA3924010	
SAMN02203238	
SAMN02203244	SAMEA3717035	SAMEA3717132	SAMN02203256	SAMN02203243	
SAMN02203241	SAMN02203255	SAMN02203250	SAMN02203200	
SAMEA1033446	SAMEA104281616	SAMEA1033298	SAMEA1033304	SAMEA1565091	SAMEA1564844	SAMEA1564882	SAMEA1564895	SAMEA1565076	SAMEA1564914	SAMEA1565110	SAMEA1564949	SAMN02383776	
SAMEA1565105	
SAMEA1564915	
SAMEA1522582	
SAMEA3717014	SAMEA3716878	
SAMEA104188265	
SAMEA70090168	
SAMEA3716961	SAMEA3923988	SAMN02203259	SAMEA104188112	SAMEA698572	SAMEA2743513	SAMEA70072918	SAMN02203245	SAMEA3717002	
SAMEA3919992	
SAMEA3717172	SAMEA4398442	
