filename,cardinality
bin17.txt,19998446.0
bin16.txt,19854494.0
bin28.txt,19891172.0
bin14.txt,19917652.0
bin15.txt,19970090.0
bin29.txt,19895252.0
bin11.txt,19843420.0
bin39.txt,19874906.0
bin38.txt,19928356.0
bin10.txt,19827940.0
bin12.txt,19829686.0
bin13.txt,19982568.0
bin48.txt,19857278.0
bin74.txt,19874468.0
bin60.txt,19947490.0
bin61.txt,19918012.0
bin75.txt,19947552.0
bin49.txt,19800824.0
bin63.txt,19873920.0
bin77.txt,19858122.0
bin88.txt,19813838.0
bin89.txt,19888652.0
bin76.txt,19969882.0
bin62.txt,19944612.0
bin66.txt,19965546.0
bin72.txt,19994196.0
bin99.txt,19816104.0
bin98.txt,19920492.0
bin73.txt,19966194.0
bin67.txt,19894440.0
bin9.txt,19818088.0
bin71.txt,19835512.0
bin65.txt,19991770.0
bin59.txt,19991038.0
bin58.txt,19937794.0
bin64.txt,19990014.0
bin70.txt,19837114.0
bin8.txt,19955450.0
bin5.txt,19858298.0
bin69.txt,19938720.0
bin55.txt,19857534.0
bin41.txt,19932354.0
bin96.txt,19874734.0
bin82.txt,19841242.0
bin102.txt,19918516.0
bin103.txt,19850838.0
bin83.txt,19802714.0
bin97.txt,19803850.0
bin40.txt,19962220.0
bin54.txt,19923942.0
bin68.txt,19978500.0
bin4.txt,19820284.0
bin6.txt,19830782.0
bin42.txt,19862738.0
bin56.txt,19982588.0
bin81.txt,19929882.0
bin95.txt,19866238.0
bin101.txt,19873786.0
bin100.txt,19962542.0
bin94.txt,19835836.0
bin80.txt,19903676.0
bin57.txt,19802998.0
bin43.txt,19840272.0
bin7.txt,19908776.0
bin3.txt,19991982.0
bin47.txt,19975768.0
bin53.txt,19882664.0
bin84.txt,19892586.0
bin90.txt,19811906.0
bin104.txt,19849966.0
bin105.txt,19773916.0
bin91.txt,19956348.0
bin85.txt,19915382.0
bin52.txt,19981622.0
bin46.txt,19973730.0
bin2.txt,19908468.0
bin0.txt,19865506.0
bin50.txt,19914538.0
bin44.txt,19855778.0
bin78.txt,19842482.0
bin93.txt,19861888.0
bin87.txt,19959460.0
bin107.txt,17542950.0
bin106.txt,19996816.0
bin86.txt,19829774.0
bin92.txt,19822818.0
bin79.txt,19899650.0
bin45.txt,19894700.0
bin51.txt,19915090.0
bin1.txt,19817046.0
bin36.txt,19832762.0
bin22.txt,19806900.0
bin23.txt,19902988.0
bin37.txt,19864110.0
bin21.txt,19893446.0
bin35.txt,19987852.0
bin34.txt,19801870.0
bin20.txt,19917526.0
bin24.txt,19815226.0
bin30.txt,19831734.0
bin18.txt,19834136.0
bin19.txt,19929808.0
bin31.txt,19999816.0
bin25.txt,19845204.0
bin33.txt,19847222.0
bin27.txt,19898354.0
bin26.txt,19862288.0
bin32.txt,19813174.0
