/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__01	212738112.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__02	130080048.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__03	508730912.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__04	200019264.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__05	191255760.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__06	239203296.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07	438626624.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__08	325284192.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__09	77325072.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__10	332991392.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__11	105624416.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__12	301108640.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__13	166303792.00000000
